abcx,abcy,sb,c>b,a:a+x;b:a;c:b;y:c-b
abcx,abcx,sb,b>c;x>b-c,a:a+x-b+c;b:a;c:c;x:b-c
abcx,abcx,sb,b>c;b-c>x,a:a;b:a+b-c-x;c:c;x:x
abdx,abdx,sb,b>x,a:a;b:a+b-x;d:d;x:x
abdx,abdx,sb,x>b,a:a+x-b;b:a;d:d;x:b
abcy,abcy,sb,b>c,a:a;b:a+y+b-c;c:c;y:y
abcy,abcy,sb,c>b,a:a;b:a+y;c:b;y:y+c-b
acdy,abdy,sb,,a:a;b:a+y;d:d;y:y+c
abdy,abdy,sb,,"a:a,b:a+b+y;d:d;y:y"
acdx,abdy,sb,,"a:a+x,b:a;d:d;y:c"
bcdx,acdx,sb,b>c;x>b-c,a:x-b+c;c:c;d:d;x:b-c
bcdx,bcdx,sb,b>c;b-c>x,b:b-c-x;c:c;d:d;x:x
bcdx,acdy,sb,c>b,a:x;c:b;d:d;y:c-b
bcdy,bcdx,sc,d>c,b:b+y;c:b;d:c;x:d-c
bcdy,bcdy,sc,c>d;y>c-d,b:b+y-c+d;c:b;d:d;y:c-d
bcdy,bcdy,sc,c>d;c-d>y,b:b;c:b+c-d-y;d:d;y:y
abcy,abcy,sc,c>y,b:b;c:b+c-y;a:a;y:y
abcy,abcy,sc,y>c,b:b+y-c;c:b;a:a;y:c
bcdx,bcdx,sc,c>d,b:b;c:b+x+c-d;d:d;x:x
bcdx,bcdx,sc,d>c,b:b;c:b+x;d:c;x:x+d-c
abdx,abcx,sc,,b:b;c:b+x;a:a;x:x+d
abcx,abcx,sc,,"b:b,c:b+c+x;a:a;x:x"
abdy,abcx,sc,,"b:b+y,c:b;a:a;x:d"
acdy,abdy,sc,c>d;y>c-d,b:y-c+d;d:d;a:a;y:c-d
acdy,acdy,sc,c>d;c-d>y,c:c-d-y;d:d;a:a;y:y
acdy,abdx,sc,d>c,b:y;d:c;a:a;x:d-c
acdx,acdy,sd,a>d,c:c+x;d:c;a:d;y:a-d
acdx,acdx,sd,d>a;x>d-a,c:c+x-d+a;d:c;a:a;x:d-a
acdx,acdx,sd,d>a;d-a>x,c:c;d:c+d-a-x;a:a;x:x
bcdx,bcdx,sd,d>x,c:c;d:c+d-x;b:b;x:x
bcdx,bcdx,sd,x>d,c:c+x-d;d:c;b:b;x:d
acdy,acdy,sd,d>a,c:c;d:c+y+d-a;a:a;y:y
acdy,acdy,sd,a>d,c:c;d:c+y;a:d;y:y+a-d
abcy,bcdy,sd,,c:c;d:c+y;b:b;y:y+a
bcdy,bcdy,sd,,"c:c,d:c+d+y;b:b;y:y"
abcx,bcdy,sd,,"c:c+x,d:c;b:b;y:a"
abdx,abcx,sd,d>a;x>d-a,c:x-d+a;a:a;b:b;x:d-a
